entity,MeSH_ID
http://www.wikidata.org/entity/Q31,D001530
http://www.wikidata.org/entity/Q155,D001938
http://www.wikidata.org/entity/Q68,D003201
http://www.wikidata.org/entity/Q144,D004285
http://www.wikidata.org/entity/Q183,D005858
http://www.wikidata.org/entity/Q8,D006240
http://www.wikidata.org/entity/Q140,D008045
http://www.wikidata.org/entity/Q233,D008319
http://www.wikidata.org/entity/Q45,D011174
http://www.wikidata.org/entity/Q75,D020407
http://www.wikidata.org/entity/Q778298,22
http://www.wikidata.org/entity/Q514,D000715
http://www.wikidata.org/entity/Q398,D001445
http://www.wikidata.org/entity/Q298,D002677
http://www.wikidata.org/entity/Q688,D002713
http://www.wikidata.org/entity/Q764,D005658
http://www.wikidata.org/entity/Q556,D006859
http://www.wikidata.org/entity/Q686,D009514
http://www.wikidata.org/entity/Q716,D014025
http://www.wikidata.org/entity/Q722,D014639
http://www.wikidata.org/entity/Q431,D015046
http://www.wikidata.org/entity/Q544,D016082
http://www.wikidata.org/entity/Q634,D016083
http://www.wikidata.org/entity/Q411,D018559
http://www.wikidata.org/entity/Q506,D035264
http://www.wikidata.org/entity/Q362,D047789
http://www.wikidata.org/entity/Q916,D000810
http://www.wikidata.org/entity/Q801,D007557
http://www.wikidata.org/entity/Q819,D007812
http://www.wikidata.org/entity/Q912,D008302
http://www.wikidata.org/entity/Q771,D008404
http://www.wikidata.org/entity/Q880,D010984
http://www.wikidata.org/entity/Q1044,D012807
http://www.wikidata.org/entity/Q1049,D013397
http://www.wikidata.org/entity/Q863,D013620
http://www.wikidata.org/entity/Q869,D013785
http://www.wikidata.org/entity/Q878,D014479
http://www.wikidata.org/entity/Q1099,D000965
http://www.wikidata.org/entity/Q1358,D001097
http://www.wikidata.org/entity/Q1297,D002641
http://www.wikidata.org/entity/Q1832,D005682
http://www.wikidata.org/entity/Q1071,D005843
http://www.wikidata.org/entity/Q1204,D007087
http://www.wikidata.org/entity/Q1057,D008660
http://www.wikidata.org/entity/Q1494,D008922
http://www.wikidata.org/entity/Q1522,D009516
http://www.wikidata.org/entity/Q2003,D009523
http://www.wikidata.org/entity/Q1693,D009659
http://www.wikidata.org/entity/Q1183,D011647
http://www.wikidata.org/entity/Q2979,D005610
http://www.wikidata.org/entity/Q3769,D005616
http://www.wikidata.org/entity/Q4006,D008377
http://www.wikidata.org/entity/Q2294,D011522
http://www.wikidata.org/entity/Q4006,D019532
http://www.wikidata.org/entity/Q5710,D001486
http://www.wikidata.org/entity/Q6844,D006515
http://www.wikidata.org/entity/Q4290,D007449
http://www.wikidata.org/entity/Q5916,D013026
http://www.wikidata.org/entity/Q6388,D013550
http://www.wikidata.org/entity/Q6974,D015654
http://www.wikidata.org/entity/Q9266,D000080682
http://www.wikidata.org/entity/Q9655,D001158
http://www.wikidata.org/entity/Q7150,D004463
http://www.wikidata.org/entity/Q8331,D005589
http://www.wikidata.org/entity/Q7162,D005823
http://www.wikidata.org/entity/Q8458,D006806
http://www.wikidata.org/entity/Q9644,D007596
http://www.wikidata.org/entity/Q9377,D007668
http://www.wikidata.org/entity/Q8445,D008393
http://www.wikidata.org/entity/Q7560,D009035
http://www.wikidata.org/entity/Q9635,D009055
http://www.wikidata.org/entity/Q8277,D009103
http://www.wikidata.org/entity/Q7365,D009132
http://www.wikidata.org/entity/Q8285,D009157
http://www.wikidata.org/entity/Q9492,D011336
http://www.wikidata.org/entity/Q9394,D011817
http://www.wikidata.org/entity/Q9174,D012067
http://www.wikidata.org/entity/Q9482,D012589
http://www.wikidata.org/entity/Q7368,D012756
http://www.wikidata.org/entity/Q7561,D012914
http://www.wikidata.org/entity/Q8161,D013660
http://www.wikidata.org/entity/Q9609,D014680
http://www.wikidata.org/entity/Q8094,D014919
http://www.wikidata.org/entity/Q7368,D034561
http://www.wikidata.org/entity/Q7018,D049668
http://www.wikidata.org/entity/Q7015,D049671
http://www.wikidata.org/entity/Q11376,D000054
http://www.wikidata.org/entity/Q12132,D000072437
http://www.wikidata.org/entity/Q12132,D000072438
http://www.wikidata.org/entity/Q11436,D000401
http://www.wikidata.org/entity/Q12135,D001523
http://www.wikidata.org/entity/Q11547,D003359
http://www.wikidata.org/entity/Q16408,D006209
http://www.wikidata.org/entity/Q13082,D009681
http://www.wikidata.org/entity/Q11633,D010781
http://www.wikidata.org/entity/Q11707,D012147
http://www.wikidata.org/entity/Q12198,D012749
http://www.wikidata.org/entity/Q11016,D013672
http://www.wikidata.org/entity/Q11466,D013696
http://www.wikidata.org/entity/Q12544,D018612
http://www.wikidata.org/entity/Q53476,D019686
http://www.wikidata.org/entity/Q44106,D062789
http://www.wikidata.org/entity/Q68566,C062720
http://www.wikidata.org/entity/Q68484,C406662
http://www.wikidata.org/entity/Q61416,D000246
http://www.wikidata.org/entity/Q63385,D000826
http://www.wikidata.org/entity/Q58713,D002997
http://www.wikidata.org/entity/Q61476,D005227
http://www.wikidata.org/entity/Q61905,D008331
http://www.wikidata.org/entity/Q68854,D012909
http://www.wikidata.org/entity/Q61509,D014195
http://www.wikidata.org/entity/Q61333,D014960
http://www.wikidata.org/entity/Q69488,D018817
http://www.wikidata.org/entity/Q61559,D046688
http://www.wikidata.org/entity/Q80250,C030797
http://www.wikidata.org/entity/Q80962,D000822
http://www.wikidata.org/entity/Q79817,D002188
http://www.wikidata.org/entity/Q83177,D003861
http://www.wikidata.org/entity/Q76436,D004301
http://www.wikidata.org/entity/Q81058,D006705
http://www.wikidata.org/entity/Q79447,D007072
http://www.wikidata.org/entity/Q79451,D007075
http://www.wikidata.org/entity/Q83500,D007360
http://www.wikidata.org/entity/Q84133,D009206
http://www.wikidata.org/entity/Q83483,D012617
http://www.wikidata.org/entity/Q80868,D014048
http://www.wikidata.org/entity/Q83320,D017942
http://www.wikidata.org/entity/Q83193,D018545
http://www.wikidata.org/entity/Q83185,D022761
http://www.wikidata.org/entity/Q82014,D031660
http://www.wikidata.org/entity/Q80212,D032382
http://www.wikidata.org/entity/Q93165,D000069463
http://www.wikidata.org/entity/Q103537,D000941
http://www.wikidata.org/entity/Q103142,D002196
http://www.wikidata.org/entity/Q108000,D005615
http://www.wikidata.org/entity/Q106016,D005838
http://www.wikidata.org/entity/Q104280,D005881
http://www.wikidata.org/entity/Q110315,D007855
http://www.wikidata.org/entity/Q104493,D012306
http://www.wikidata.org/entity/Q105522,D014527
http://www.wikidata.org/entity/Q101680,D028201
http://www.wikidata.org/entity/Q101815,D028241
http://www.wikidata.org/entity/Q93235,D029801
http://www.wikidata.org/entity/Q101538,D029921
http://www.wikidata.org/entity/Q102778,D037302
http://www.wikidata.org/entity/Q99974,D038821
http://www.wikidata.org/entity/Q103459,D058751
http://www.wikidata.org/entity/Q115542,D000089342
http://www.wikidata.org/entity/Q116007,D000090642
http://www.wikidata.org/entity/Q131130,D000758
http://www.wikidata.org/entity/Q128711,D000939
http://www.wikidata.org/entity/Q118418,D000987
http://www.wikidata.org/entity/Q130983,D002531
http://www.wikidata.org/entity/Q112110,D004616
http://www.wikidata.org/entity/Q127980,D005223
http://www.wikidata.org/entity/Q120569,D005762
http://www.wikidata.org/entity/Q119280,D007691
http://www.wikidata.org/entity/Q117801,D008432
http://www.wikidata.org/entity/Q123028,D010372
http://www.wikidata.org/entity/Q131026,D010678
http://www.wikidata.org/entity/Q130948,D010961
http://www.wikidata.org/entity/Q131029,D012760
http://www.wikidata.org/entity/Q124490,D014754
http://www.wikidata.org/entity/Q104733130,D014754
http://www.wikidata.org/entity/Q127076,D014839
http://www.wikidata.org/entity/Q131172,D014896
http://www.wikidata.org/entity/Q118226,D017978
http://www.wikidata.org/entity/Q113820,D019850
http://www.wikidata.org/entity/Q130999,D020560
http://www.wikidata.org/entity/Q131342,D031307
http://www.wikidata.org/entity/Q131369,D045465
http://www.wikidata.org/entity/Q126223,D054992
http://www.wikidata.org/entity/Q123252,D064174
http://www.wikidata.org/entity/Q144362,C005525
http://www.wikidata.org/entity/Q149452,C008340
http://www.wikidata.org/entity/Q135022,D000071194
http://www.wikidata.org/entity/Q134897,D000076643
http://www.wikidata.org/entity/Q135149,D000077290
http://www.wikidata.org/entity/Q147270,D000077765
http://www.wikidata.org/entity/Q132434,D000091
http://www.wikidata.org/entity/Q137647,D000333
http://www.wikidata.org/entity/Q133948,D000975
http://www.wikidata.org/entity/Q134359,D001232
http://www.wikidata.org/entity/Q149098,D001406
http://www.wikidata.org/entity/Q139307,D002112
http://www.wikidata.org/entity/Q148776,D002168
http://www.wikidata.org/entity/Q137056,D003343
http://www.wikidata.org/entity/Q138670,D004536
http://www.wikidata.org/entity/Q142091,D004561
http://www.wikidata.org/entity/Q131854,D007709
http://www.wikidata.org/entity/Q132644,D007779
http://www.wikidata.org/entity/Q138793,D007934
http://www.wikidata.org/entity/Q132325,D008515
http://www.wikidata.org/entity/Q133516,D009005
http://www.wikidata.org/entity/Q146274,D009576
http://www.wikidata.org/entity/Q143652,D010519
http://www.wikidata.org/entity/Q144085,D010868
http://www.wikidata.org/entity/Q146322,D011140
http://www.wikidata.org/entity/Q134582,D012548
http://www.wikidata.org/entity/Q133182,D013483
http://www.wikidata.org/entity/Q11425,D019486
http://www.wikidata.org/entity/Q12004,D029963
http://www.wikidata.org/entity/Q12133,D034381
http://www.wikidata.org/entity/Q11394,D056727
http://www.wikidata.org/entity/Q12560,D057214
http://www.wikidata.org/entity/Q12638,D059066
http://www.wikidata.org/entity/Q27070,D000073568
http://www.wikidata.org/entity/Q21788,D000076667
http://www.wikidata.org/entity/Q27433,D000350
http://www.wikidata.org/entity/Q27394,D000353
http://www.wikidata.org/entity/Q425105,D000595
http://www.wikidata.org/entity/Q17153,D000681
http://www.wikidata.org/entity/Q27275,D001209
http://www.wikidata.org/entity/Q18676,D001303
http://www.wikidata.org/entity/Q25441,D003063
